Unit QC review administrative data (Not Included in These Analyses),,,,,
ACTNTYPE                  R       Type of action,,,,,
ALLADJ                    R       Allotment adjustment,,,,,
AMTADJ                    R       Amount of allotment adjustment,,,,,
AUTHREP                   R       Authorized representative,,,,,
BENFIX                    C       Benefit allotment (SNAP benefit) adjusted for errors,,,,,
CASE                      R       Case classification,,,,,
CAT_ELIG                  C       Indicator of categorical eligibility status,,,,,
CERTMTH                   R       Months in certification period,,,,,
EXPEDSER                  R       Received expedited service,,,,,
HHLDNO                    C       SNAP household identification number,,,,,
LASTCERT                  C       Months since last SNAP certification,,,,,
LOCALCOD                  R       Local agency code (not retained on public use file),,,,,
MED_DED_DEMO              C       Indicator of standard medical deduction demonstration participation,,,,,
MN_FIP                    C       Indicator of MFIP participation,,,,,
PURE_PA                   C       Indicator of pure cash public assistance status,,,,,
RCNTACTN                  R       Most recent action on case,,,,,
REP_SYS                   R       Reporting requirement,,,,,
REVNUM                    R       State QC review number (not retained on public use file),,,,,
SSI_CAP                   C       Indicator of SSI-CAP participation,,,,,
STATUS                    R       Status of case error findings,,,,,
YRMONTH                   R       Sample year and month,,,,,
,,,,,
Unit demographics and sample weights (UNIT_Demo),,,,,
AK_AREA,,,,,C        Alaska region (not retained on public use file)
CERTHHSZ,,,,,R        Certified unit size
COMPOSITION,,,,,C        Unit composition
COUNTYCD,,,,,C        FIPS code for county (not retained on public use file)
CTPRHH,,,,,C        Number of people in household
FSDIS,,,,,C        Indicator of non-elderly individuals with disabilities in unit
FSELDER,,,,,C        Indicator of elderly individuals in unit
FSKID,,,,,C        Indicator of children in unit
FSNDIS,,,,,C        Number of non-elderly individuals with disabilities in unit
FSNDISCA,,,,,C        Number of adults age 18 to 49 without disabilities in childless units
FSNELDER,,,,,C       Number of elderly individuals in unit
FSNGMOM,,,,,C       Indicator of single-female-headed unit
FSNK0T4,,,,,C       Number of preschool-age children in unit
FSNK5T17,,,,,C       Number of school-age children in unit
FSNKID,,,,,C       Number of children in unit
FSNONCIT,,,,,C       Number of noncitizens in unit
FSUSIZE,,,,,C        Constructed certified unit size
FYWGT,,,,,C        Weight used for full-year calculations
HWGT,,,,,C        Monthly sample weight
NONCIT_HEAD,,,,,C        Unit head citizenship indicator
RAWHSIZE,,,,,R        Reported number of people in household
REGION,,,,,C        Constructed census region code
REGIONCD,,,,,R        FNS region code
STATE,,,,,R        FIPS code for State or territory
STATENAME,,,,,C        State or territory
STRATUM,,,,,R        Stratum identification
TANF_IND,,,,,C        Indicator of TANF receipt for unit
TPOV,,,,,C        Gross income/poverty level ratio
URBRUR,,,,,C        Urban/rural indicator (not retained on public use file)
WRK_POOR,,,,,C        Indicator of working poor unit
,,,,,
Unit countable income - monthly dollar amounts (UNIT_Inc),,,,,
FSCONT,,,,,C       Countable unit income from contributions
FSCSUPRT,,,,,C       Countable unit child support payment income
FSDEEM,,,,,C       Countable unit deemed income
